target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0.1,M,80+,0.3529411764705882,0.0,1.0,0.7647058823529411,0.23529411764705882,0.0,0.9285714285714286,0.07142857142857142,13,4,1,0
F,,0,0.1,F,0-20,0.8906481939633845,0.9302325581395349,0.06976744186046512,0.723404255319149,0.2765957446808511,0.6060606060606061,0.9577464788732394,0.04225352112676056,68,26,3,40
F,,0,0.1,F,20-40,0.8925614338443122,0.8442622950819673,0.1557377049180328,0.7971602434077079,0.2028397565922921,0.5073891625615764,0.9538834951456311,0.04611650485436893,393,100,19,103
F,,0,0.1,F,40-60,0.8725783540363286,0.7987804878048781,0.20121951219512196,0.79182156133829,0.20817843866171004,0.43812709030100333,0.9508928571428571,0.049107142857142856,639,168,33,131
F,,0,0.1,F,60-80,0.8570917332697124,0.8415841584158416,0.15841584158415842,0.727710843373494,0.27228915662650605,0.4292929292929293,0.949685534591195,0.050314465408805034,302,113,16,85
F,,0,0.1,F,80+,0.8917748917748918,0.8181818181818182,0.18181818181818182,0.8571428571428571,0.14285714285714285,0.75,0.9,0.1,18,3,2,9
F,,0,0.25,,,0.8468988255460373,0.7814251401120896,0.21857485988791034,0.763287286349801,0.23671271365019902,0.49119275289380976,0.922728559298047,0.07727144070195302,3260,1011,273,976
F,,0,0.25,M,,0.8488724999087374,0.8044554455445545,0.19554455445544555,0.7398607128226137,0.2601392871773863,0.5058365758754864,0.9195519348268839,0.08044806517311609,1806,635,158,650
F,,0,0.25,F,,0.8405771780479041,0.7392290249433107,0.26077097505668934,0.7945355191256831,0.20546448087431693,0.46438746438746437,0.9267049075844487,0.07329509241555131,1454,376,115,326
F,,0,0.25,,0-20,0.8868679245283018,0.8933333333333333,0.10666666666666667,0.7396226415094339,0.26037735849056604,0.6600985221674877,0.9245283018867925,0.07547169811320754,196,69,16,134
F,,0,0.25,,20-40,0.8644065344156502,0.8095238095238095,0.19047619047619047,0.7584320875113947,0.2415679124886053,0.5359019264448336,0.9203539823008849,0.07964601769911504,832,265,72,306
F,,0,0.25,,40-60,0.838792148897305,0.7461368653421634,0.25386313465783666,0.7800851970181044,0.21991480298189564,0.45006657789613846,0.9272151898734177,0.07278481012658228,1465,413,115,338
F,,0,0.25,,60-80,0.8033657477341389,0.734375,0.265625,0.7442094662638469,0.25579053373615307,0.4253393665158371,0.9157372986369269,0.08426270136307311,739,254,68,188
F,,0,0.25,,80+,0.8508771929824561,0.8333333333333334,0.16666666666666666,0.7368421052631579,0.2631578947368421,0.5,0.9333333333333333,0.06666666666666667,28,10,2,10
F,,0,0.25,M,0-20,0.9037000601191452,0.9158878504672897,0.08411214953271028,0.7251461988304093,0.27485380116959063,0.6758620689655173,0.9323308270676691,0.06766917293233082,124,47,9,98
F,,0,0.25,M,20-40,0.8610176945364237,0.8203125,0.1796875,0.7284768211920529,0.271523178807947,0.5614973262032086,0.9053497942386831,0.09465020576131687,440,164,46,210
F,,0,0.25,M,40-60,0.84100814489579,0.7923875432525952,0.20761245674740483,0.7544351073762838,0.24556489262371614,0.4654471544715447,0.9308755760368663,0.06912442396313365,808,263,60,229
F,,0,0.25,M,60-80,0.7975220448710794,0.7225806451612903,0.27741935483870966,0.7318339100346021,0.2681660899653979,0.41947565543071164,0.907725321888412,0.09227467811158799,423,155,43,112
F,,0,0.25,M,80+,0.8823529411764706,1.0,0.0,0.6470588235294118,0.35294117647058826,0.14285714285714285,1.0,0.0,11,6,0,1
F,,0,0.25,F,0-20,0.8456209797130133,0.8372093023255814,0.16279069767441862,0.7659574468085106,0.23404255319148937,0.6206896551724138,0.9113924050632911,0.08860759493670886,72,22,7,36
F,,0,0.25,F,20-40,0.8620357130981279,0.7868852459016393,0.21311475409836064,0.795131845841785,0.20486815415821502,0.4873096446700508,0.937799043062201,0.06220095693779904,392,101,26,96
F,,0,0.25,F,40-60,0.8338244627799438,0.6646341463414634,0.3353658536585366,0.8141263940520446,0.18587360594795538,0.42084942084942084,0.922752808988764,0.07724719101123595,657,150,55,109
F,,0,0.25,F,60-80,0.8123344864606942,0.7524752475247525,0.24752475247524752,0.7614457831325301,0.2385542168674699,0.4342857142857143,0.9266862170087976,0.07331378299120235,316,99,25,76
F,,0,0.25,F,80+,0.8614718614718615,0.8181818181818182,0.18181818181818182,0.8095238095238095,0.19047619047619047,0.6923076923076923,0.8947368421052632,0.10526315789473684,17,4,2,9
F,,0,0.5,,,0.84944752805288,0.8126501200960768,0.18734987990392313,0.7340201357995786,0.26597986420042147,0.4718735471873547,0.9305431878895815,0.06945681211041853,3135,1136,234,1015
F,,0,0.5,M,,0.8511535606653661,0.8403465346534653,0.15965346534653466,0.6984842277755019,0.30151577222449816,0.47985865724381627,0.9296619411123228,0.0703380588876772,1705,736,129,679
F,,0,0.5,F,,0.8441557315093615,0.7619047619047619,0.23809523809523808,0.7814207650273224,0.2185792349726776,0.45652173913043476,0.9315960912052117,0.06840390879478828,1430,400,105,336
F,,0,0.5,,0-20,0.8746163522012578,0.9266666666666666,0.07333333333333333,0.6339622641509434,0.3660377358490566,0.5889830508474576,0.9385474860335196,0.061452513966480445,168,97,11,139
F,,0,0.5,,20-40,0.8620938297328452,0.8174603174603174,0.18253968253968253,0.731996353691887,0.268003646308113,0.5124378109452736,0.9208715596330275,0.07912844036697247,803,294,69,309
F,,0,0.5,,40-60,0.843995890607405,0.7902869757174393,0.2097130242825607,0.7577209797657082,0.2422790202342918,0.4403444034440344,0.9374176548089591,0.06258234519104085,1423,455,95,358
F,,0,0.5,,60-80,0.8113592019133937,0.77734375,0.22265625,0.7200402819738168,0.2799597180261833,0.4171907756813417,0.9261658031088082,0.07383419689119171,715,278,57,199
F,,0,0.5,,80+,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.6842105263157895,0.3157894736842105,0.45454545454545453,0.9285714285714286,0.07142857142857142,26,12,2,10
F,,0,0.5,M,0-20,0.8793791331912335,0.9439252336448598,0.056074766355140186,0.6198830409356725,0.38011695906432746,0.608433734939759,0.9464285714285714,0.05357142857142857,106,65,6,101
F,,0,0.5,M,20-40,0.8648334023178808,0.84375,0.15625,0.6920529801324503,0.3079470198675497,0.5373134328358209,0.9126637554585153,0.08733624454148471,418,186,40,216
F,,0,0.5,M,40-60,0.8438771125520566,0.8339100346020761,0.16608996539792387,0.7142857142857143,0.2857142857142857,0.4405850091407678,0.940959409594096,0.05904059040590406,765,306,48,241
F,,0,0.5,M,60-80,0.8081593927893739,0.7741935483870968,0.22580645161290322,0.7024221453287197,0.2975778546712803,0.410958904109589,0.9206349206349206,0.07936507936507936,406,172,35,120
F,,0,0.5,M,80+,0.6470588235294117,1.0,0.0,0.5882352941176471,0.4117647058823529,0.125,1.0,0.0,10,7,0,1
F,,0,0.5,F,0-20,0.8545274616526473,0.8837209302325582,0.11627906976744186,0.6595744680851063,0.3404255319148936,0.5428571428571428,0.9253731343283582,0.07462686567164178,62,32,5,38
F,,0,0.5,F,20-40,0.8498487014930337,0.7622950819672131,0.23770491803278687,0.7809330628803245,0.21906693711967545,0.4626865671641791,0.9299516908212561,0.07004830917874397,385,108,29,93
F,,0,0.5,F,40-60,0.8441381811587633,0.7134146341463414,0.2865853658536585,0.815365551425031,0.18463444857496902,0.4398496240601504,0.9333333333333333,0.06666666666666667,658,149,47,117
F,,0,0.5,F,60-80,0.8164618871525707,0.7821782178217822,0.21782178217821782,0.744578313253012,0.25542168674698795,0.42702702702702705,0.9335347432024169,0.06646525679758308,309,106,22,79
F,,0,0.5,F,80+,0.8744588744588744,0.8181818181818182,0.18181818181818182,0.7619047619047619,0.23809523809523808,0.6428571428571429,0.8888888888888888,0.1111111111111111,16,5,2,9
F,,0,0.75,,,0.818632335041529,0.7317854283426741,0.2682145716573259,0.7712479512994614,0.2287520487005385,0.4833421470121629,0.9076880683383852,0.09231193166161478,3294,977,335,914
F,,0,0.75,M,,0.8308729582503519,0.7871287128712872,0.21287128712871287,0.7275706677591152,0.2724293322408849,0.4888547271329746,0.9117043121149897,0.08829568788501027,1776,665,172,636
F,,0,0.75,F,,0.7959369540165794,0.6303854875283447,0.36961451247165533,0.8295081967213115,0.17049180327868851,0.4711864406779661,0.9030339083878643,0.09696609161213564,1518,312,163,278
F,,0,0.75,,0-20,0.8630440251572328,0.8866666666666667,0.11333333333333333,0.6981132075471698,0.3018867924528302,0.6244131455399061,0.9158415841584159,0.08415841584158416,185,80,17,133
F,,0,0.75,,20-40,0.8300801126689914,0.7275132275132276,0.2724867724867725,0.7885141294439381,0.211485870556062,0.5424063116370809,0.893595041322314,0.10640495867768596,865,232,103,275
